province,cell_id,lat,lon,date,temperature,humidity,rain,wind_speed,fire,hotspots,fire_prob_true
เชียงใหม่,เชี-01,19.0931,98.8014,2022-01-01,27.0,75.4,14.1,8.7,0,0,0.043
เชียงใหม่,เชี-01,19.0931,98.8014,2022-01-02,28.5,70.2,0.0,10.1,0,0,0.046
เชียงใหม่,เชี-01,19.0931,98.8014,2022-01-03,28.3,72.6,0.0,10.9,0,0,0.045
เชียงใหม่,เชี-01,19.0931,98.8014,2022-01-04,28.5,72.4,1.1,13.6,0,0,0.047
เชียงใหม่,เชี-01,19.0931,98.8014,2022-01-05,28.7,71.5,0.0,11.8,0,0,0.047
เชียงใหม่,เชี-01,19.0931,98.8014,2022-01-06,31.3,79.3,0.0,12.8,0,0,0.047
เชียงใหม่,เชี-01,19.0931,98.8014,2022-01-07,27.6,72.6,2.5,9.2,0,0,0.044
เชียงใหม่,เชี-01,19.0931,98.8014,2022-01-08,27.6,71.6,9.9,9.4,1,1,0.044
เชียงใหม่,เชี-01,19.0931,98.8014,2022-01-09,27.2,62.3,3.0,10.1,0,0,0.047
เชียงใหม่,เชี-01,19.0931,98.8014,2022-01-10,29.5,66.2,8.9,10.3,0,0,0.047
เชียงใหม่,เชี-01,19.0931,98.8014,2022-01-11,30.4,68.4,4.6,8.7,0,0,0.046
เชียงใหม่,เชี-01,19.0931,98.8014,2022-01-12,28.6,67.3,0.0,13.3,0,0,0.047
เชียงใหม่,เชี-01,19.0931,98.8014,2022-01-13,27.6,78.2,5.4,12.6,0,0,0.042
เชียงใหม่,เชี-01,19.0931,98.8014,2022-01-14,27.8,70.0,0.0,10.3,0,0,0.044
เชียงใหม่,เชี-01,19.0931,98.8014,2022-01-15,30.1,75.1,0.0,12.2,0,0,0.046
เชียงใหม่,เชี-01,19.0931,98.8014,2022-01-16,30.3,68.5,0.0,11.5,0,0,0.049
เชียงใหม่,เชี-01,19.0931,98.8014,2022-01-17,30.2,68.2,8.0,12.5,0,0,0.05
เชียงใหม่,เชี-01,19.0931,98.8014,2022-01-18,28.4,68.7,24.6,8.5,0,0,0.043
เชียงใหม่,เชี-01,19.0931,98.8014,2022-01-19,29.9,67.7,12.9,10.9,0,0,0.044
เชียงใหม่,เชี-01,19.0931,98.8014,2022-01-20,29.8,76.0,23.3,11.2,0,0,0.042
เชียงใหม่,เชี-01,19.0931,98.8014,2022-01-21,30.1,55.3,1.7,12.6,0,0,0.046
เชียงใหม่,เชี-01,19.0931,98.8014,2022-01-22,31.2,55.7,3.1,10.2,0,0,0.045
เชียงใหม่,เชี-01,19.0931,98.8014,2022-01-23,30.3,63.4,10.9,6.5,0,0,0.041
เชียงใหม่,เชี-01,19.0931,98.8014,2022-01-24,31.1,65.3,7.8,9.4,0,0,0.042
เชียงใหม่,เชี-01,19.0931,98.8014,2022-01-25,30.3,69.1,8.9,11.5,0,0,0.043
เชียงใหม่,เชี-01,19.0931,98.8014,2022-01-26,30.7,67.3,14.7,11.8,0,0,0.043
เชียงใหม่,เชี-01,19.0931,98.8014,2022-01-27,31.3,62.3,11.0,15.1,0,0,0.049
เชียงใหม่,เชี-01,19.0931,98.8014,2022-01-28,28.3,71.4,0.0,13.0,0,0,0.042
เชียงใหม่,เชี-01,19.0931,98.8014,2022-01-29,30.1,69.8,18.3,12.0,0,0,0.042
เชียงใหม่,เชี-01,19.0931,98.8014,2022-01-30,30.0,65.4,0.0,11.9,0,0,0.044
เชียงใหม่,เชี-01,19.0931,98.8014,2022-01-31,29.8,69.1,0.0,14.2,0,0,0.045
เชียงใหม่,เชี-01,19.0931,98.8014,2022-02-01,30.5,64.9,3.0,10.9,0,0,0.046
เชียงใหม่,เชี-01,19.0931,98.8014,2022-02-02,33.2,58.3,2.8,11.8,0,0,0.06
เชียงใหม่,เชี-01,19.0931,98.8014,2022-02-03,29.8,67.0,9.5,10.0,0,0,0.046
เชียงใหม่,เชี-01,19.0931,98.8014,2022-02-04,32.6,61.6,9.4,15.0,0,0,0.056
เชียงใหม่,เชี-01,19.0931,98.8014,2022-02-05,28.7,63.9,7.4,13.1,0,0,0.048
